id,variant_id,product_name,product_type,product_code,sku,category,brand,price,cost_price,base_unit,unit_quantity,tax_rate (%),product_description,variant_name,variant_sku,variant_product_code,variant_cost_price,variant_price,variant_qty,variant_status
2,,Button Down Shirt & Culotte Set,single,5819221036,VCSFK0171,Full Kit,Viola,7990,6200,unit,51,0,,,,,,,,
4,,Floral One Shoulder Frock,single,9102167795,VLSFR006,laxary,Viola,7690,6000,pcs,32,0,,,,,,,,
10,,Bathik Night Wear,single,0285160014,VCBNW0005,Night Wear,Vyla,2690,2500,pcs,13,0,,,,,,,,
13,,ADDA Slippers,single,6992249256,S0021,Slippers,ADDA,4690,3200,pcs,9,0,,,,,,,,
15,,Banny T Shirt,single,5651261851,TS005,Crop Top,Banny,3290,2500,pcs,13,0,,,,,,,,
16,,Bathik Crop Top Long Sleeve,single,2088271113,B0017,Bathik,N/A,2890,2000,pcs,6,0,,,,,,,,
18,,Bathik Crop Top Normal,single,2380762962,B0018,Bathik,N/A,3190,2300,pcs,6,0,,,,,,,,
19,,Bathik Saree,single,9976852616,BS001,Bathik Saree,N/A,5600,5600,pcs,22,0,,,,,,,,
25,,Floral V Neck Frock *,single,1233280587,VCSFR0013,Frocks,Viola,4190,3500,pcs,13,0,Size check 04 ,,,,,,,
26,,Floral V Neck Frock XL,single,1215178820,VCSFR011,Frocks,Viola,3000,3000,pcs,13,0,,,,,,,,
27,,Floral V Neck Frock S,single,4350061349,VCSFR010,Frocks,Viola,3000,3000,pcs,14,0,,,,,,,,
28,,Floral V Neck Frock M,single,3366186278,VCSFR009,Frocks,Viola,3000,3000,pcs,14,0,,,,,,,,
29,,Full Kit,single,5923477193,FK0019,Full Kit,N/A,3800,3800,pcs,10,0,,,,,,,,
31,,Goodly T Shirt,single,9108816980,TS006,Goodly Cotton,Goodly,2790,1500,pcs,24,0,,,,,,,,
32,,Hand Bag,single,9584375355,B0011,Box Bag,N/A,5000,5000,pcs,6,0,,,,,,,,
33,,Kids T Shirt,single,4301274762,KTS007,U+ Kids,U+ ,3890,2300,pcs,12,0,,,,,,,,
34,,KITO Slippers,single,2037593483,S0022,Slippers,KITO,4690,3000,pcs,6,0,,,,,,,,
35,,Dual Pattern Button Down Kurta XL,single,2614533926,VCSKT003,Kurtha Top,Viola,6290,5800,pcs,19,0,,,,,,,,
41,,Ladies Bata,single,0264197176,B0022,Bata,Mixstar,3290,1000,pcs,11,0,,,,,,,,
43,,Ladies Hats,single,1215488194,H009,Hats,N/A,2990,1500,pcs,9,0,,,,,,,,
48,,Lether Belt,single,9998384473,B0020,Belt,N/A,2490,1500,pcs,25,0,,,,,,,,
52,117,Midnight Blossom Frock # - Red,variable,7699048526,VCSFR016-PIN,Viola Frock,Viola,4690,4990,pcs,15,0,,Red,VCSFR016-PIN,7329686380,4990,4690,6,1
52,118,Midnight Blossom Frock # - White,variable,7699048526,VCSFR016-GRE,Viola Frock,Viola,4690,4990,pcs,15,0,,White,VCSFR016-GRE,6176441952,4990,4690,7,1
53,,Mini Bag,single,9660166847,B0013,Mini Bag,N/A,8500,8500,pcs,3,0,,,,,,,,
